X,Y,OBJECTID,SAP_EQUIPMENT,ITEM_DESCRIPTION,ITEM_TYPE,SAP_FUNCTIONAL_LOCATION,PARK_NUMBER,PARK_NAME,SUBURB,POWER_TYPE,NUMBER_OF_PLATES,LONG,LAT
506884.0176,6978878.378,107,200471654,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1875-N014,D0276,SANDGATE FORESHORES PARK,SANDGATE,MAINS POWER,1,153.0695785,-27.31314499
496729.4193,6944693.865,108,100267976,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-2099-N006,D1279,THE LAKE PARKLANDS,FOREST LAKE,MAINS POWER,2,152.9668512,-27.62177588
502464.6092,6942715.82,109,100299000,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0069-N004,D2028,TALISKER PLACE PARK,PARKINSON,MAINS POWER,1,153.024984,-27.63963495
516232.0517,6950360.601,110,200479210,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-2633-N002,D0989,LEACROFT ROAD PARK,BURBANK,MAINS POWER,2,153.1644424,-27.57052421
508202.447,6977880.762,111,200480647,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1875-N012,D0276,SANDGATE FORESHORES PARK,SANDGATE,MAINS POWER,1,153.0829108,-27.32214438
503198.8666,6978060.788,112,200502786,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2352-N005,D1394,BARRETT STREET PARK (WATER RESERVE),BRACKEN RIDGE,MAINS POWER,1,153.0323339,-27.32053993
503172.7534,6978092.552,113,200502791,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2352-N005,D1394,BARRETT STREET PARK (WATER RESERVE),BRACKEN RIDGE,MAINS POWER,1,153.0320699,-27.32025322
498142.7296,6972169.191,114,200507010,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0567-N001,D1768,DR VALENTINE McDOWALL PARK,MCDOWALL,MAINS POWER,1,152.9812179,-27.37373261
501281.3471,6971590.462,115,200488238,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1672-N008,D0662,JOHN GOSS RESERVE,CHERMSIDE WEST,MAINS POWER,1,153.0129585,-27.3789581
495682.8457,6954375.143,116,200471970,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2280-N008,D1381,AMAZONS PLACE PARK,JINDALEE,MAINS POWER,1,152.9562784,-27.53437184
